biorxiv_doi,published_doi,preprint_platform,preprint_category,preprint_date,published_date,quarter
10.1101/000968,10.3389/fnhum.2013.00880,bioRxiv,Neuroscience,2013-11-26,2013-12-18,2013-10
10.1101/000406,10.1016/j.gde.2013.11.001,bioRxiv,Evolutionary Biology,2013-11-14,2013-12-10,2013-10
10.1101/001081,10.1093/bioinformatics/btu121,bioRxiv,Bioinformatics,2013-12-03,2014-03-05,2014-01
10.1101/001297,10.1371/journal.pone.0085203,bioRxiv,Biophysics,2013-12-10,2014-01-15,2014-01
10.1101/000422,10.3389/fgene.2014.00013,bioRxiv,Bioinformatics,2013-11-14,2014-01-31,2014-01
10.1101/001396,10.1162/NECO_a_00568,bioRxiv,Biophysics,2013-12-13,2014-03-10,2014-01
10.1101/002980,10.1016/j.bpj.2014.01.012,bioRxiv,Biophysics,2014-02-24,2014-02-18,2014-01
10.1101/001693,10.1103/PhysRevLett.112.068101,bioRxiv,Biophysics,2014-01-08,2014-02-10,2014-01
10.1101/000141,10.1371/journal.pcbi.1003433,bioRxiv,Cancer Biology,2013-11-07,2014-01-16,2014-01
10.1101/001602,10.7554/eLife.01856.001,bioRxiv,Cell Biology,2013-12-29,2014-01-21,2014-01
10.1101/001701,10.7554/eLife.00829,bioRxiv,Cell Biology,2014-01-09,2014-02-18,2014-01
10.1101/003012,10.1073/pnas.1313285111,bioRxiv,Evolutionary Biology,2014-02-25,2014-01-06,2014-01
10.1101/000315,10.1371/journal.pone.0087782,bioRxiv,Genomics,2013-11-13,2014-01-29,2014-01
10.1101/000067,10.1038/nature12904,bioRxiv,Genomics,2013-11-07,2014-02-27,2014-01
10.1101/001776,10.1186/1471-2164-15-82,bioRxiv,Genomics,2014-01-13,2014-01-29,2014-01
10.1101/000950,10.1093/mp/ssu003,bioRxiv,Plant Biology,2013-11-26,2014-01-30,2014-01
10.1101/003335,10.1021/sb400206c,bioRxiv,Synthetic Biology,2014-03-17,2014-03-28,2014-01
10.1101/001172,10.1093/sysbio/syu018,bioRxiv,Evolutionary Biology,2013-12-05,2014-03-12,2014-01
10.1101/002741,10.7554/eLife.01917.001,bioRxiv,Cell Biology,2014-02-18,2014-03-12,2014-01
10.1101/001800,10.1371/journal.pone.0091819,bioRxiv,Cell Biology,2014-01-15,2014-03-14,2014-01
10.1101/002659,10.1038/nmat3912,bioRxiv,Synthetic Biology,2014-02-14,2014-03-23,2014-01
10.1101/000455,10.1186/2047-217X-3-3,bioRxiv,Neuroscience,2013-11-15,2014-03-26,2014-01
10.1101/001032,10.1371/journal.pone.0091768,bioRxiv,Ecology,2013-12-02,2014-03-20,2014-01
10.1101/001040,10.1371/journal.pone.0090714,bioRxiv,Microbiology,2013-12-03,2014-03-20,2014-01
10.1101/000943,10.3389/fncir.2014.00028,bioRxiv,Neuroscience,2013-11-27,2014-03-24,2014-01
10.1101/000752,10.1016/j.ajhg.2014.03.004,bioRxiv,Genomics,2013-11-19,2014-03-04,2014-01
10.1101/003939,10.1007/s13235-014-0106-2,bioRxiv,Evolutionary Biology,2014-04-07,2014-03-27,2014-01
10.1101/001743,10.1242/bio.20147633,bioRxiv,Cell Biology,2014-01-10,2014-03-28,2014-01
10.1101/002048,10.1016/j.bpj.2014.02.009,bioRxiv,Biophysics,2014-01-24,2014-03-18,2014-01
10.1101/002063,10.1371/journal.pone.0086169,bioRxiv,Evolutionary Biology,2014-01-24,2014-02-03,2014-01
10.1101/000380,10.1016/j.biochi.2012.05.024,bioRxiv,Systems Biology,2013-11-14,2014-03-01,2014-01
10.1101/004382,10.1016/j.meegid.2012.11.009,bioRxiv,Immunology,2014-04-28,2014-03-01,2014-01
10.1101/002881,10.1002/cpe.3236,bioRxiv,Bioinformatics,2014-02-20,2014-03-06,2014-01
10.1101/001586,10.1016/j.bica.2014.02.003,bioRxiv,Neuroscience,2013-12-23,2014-03-23,2014-01
10.1101/001842,10.1098/rspb.2013.3127,bioRxiv,Ecology,2014-01-15,2014-04-07,2014-04
10.1101/002410,10.1038/nn.3669,bioRxiv,Neuroscience,2014-02-06,2014-04-01,2014-04
10.1101/000885,10.1021/sb400203p,bioRxiv,Synthetic Biology,2013-11-25,2014-04-07,2014-04
10.1101/003368,10.1098/rsif.2013.1052,bioRxiv,Synthetic Biology,2014-03-17,2014-06-06,2014-04
10.1101/003772,10.1088/1478-3975/11/2/026005,bioRxiv,Evolutionary Biology,2014-04-02,2014-04-01,2014-04
10.1101/001255,10.1007/s10750-014-1870-0,bioRxiv,Ecology,2013-12-10,2014-04-09,2014-04
10.1101/003459,10.1073/pnas.1404354111,bioRxiv,Cell Biology,2014-03-19,2014-04-07,2014-04
10.1101/003707,10.1111/evo.12420,bioRxiv,Evolutionary Biology,2014-03-31,2014-05-21,2014-04
10.1101/002675,10.1242/bio.20147955,bioRxiv,Cell Biology,2014-02-13,2014-04-04,2014-04
10.1101/003160,10.1007/s00439-014-1441-5,bioRxiv,Genetics,2014-03-03,2014-04-18,2014-04
10.1101/002238,10.1371/journal.pone.0093766,bioRxiv,Genomics,2014-01-30,2014-04-09,2014-04
10.1101/000430,10.1021/sb400157z,bioRxiv,Synthetic Biology,2013-11-14,2014-04-03,2014-04
10.1101/003525,10.1007/s11886-014-0488-1,bioRxiv,Systems Biology,2014-03-23,2014-04-18,2014-04
10.1101/001495,10.1371/journal.pcbi.1003569,bioRxiv,Bioinformatics,2013-12-20,2014-04-24,2014-04
10.1101/000984,10.1371/journal.pone.0098122,bioRxiv,Bioinformatics,2013-12-04,2014-05-20,2014-04
10.1101/005512,10.1186/1471-2148-14-98,bioRxiv,Evolutionary Biology,2014-05-27,2014-05-07,2014-04
10.1101/003608,10.1371/journal.pone.0096303,bioRxiv,Bioinformatics,2014-03-27,2014-05-08,2014-04
10.1101/003277,10.7554/eLife.02409,bioRxiv,Cell Biology,2014-03-07,2014-04-25,2014-04
10.1101/000307,10.1371/journal.pgen.1004293,bioRxiv,Developmental Biology,2013-11-12,2014-04-24,2014-04
10.1101/000760,10.1111/cobi.12308,bioRxiv,Ecology,2013-11-21,2014-05-12,2014-04
10.1101/000521,10.1111/evo.12438,bioRxiv,Evolutionary Biology,2013-11-16,2014-06-03,2014-04
10.1101/000208,10.1101/gr.169292.113,bioRxiv,Evolutionary Biology,2013-11-12,2014-05-13,2014-04
10.1101/000042,10.1038/nrg3723,bioRxiv,Genomics,2013-11-07,2014-06-01,2014-04
10.1101/001958,10.1089/cmb.2014.0029,bioRxiv,Bioinformatics,2014-01-22,2014-05-29,2014-04
10.1101/002469,10.1186/1471-2105-15-126,bioRxiv,Bioinformatics,2014-02-07,2014-05-03,2014-04
10.1101/000158,10.1186/1471-2164-15-398,bioRxiv,Bioinformatics,2013-11-11,2014-05-24,2014-04
10.1101/004457,10.1103/PhysRevLett.112.208102,bioRxiv,Biophysics,2014-04-23,2014-05-23,2014-04
10.1101/002196,10.12688/f1000research.3986,bioRxiv,Cell Biology,2014-01-28,2014-04-22,2014-04
